Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
0.2,1,0,3
0.4,2,5,0
0.6,0,3,5
0.8,4,2,0
1,6,4,2
1.2,1,3,1
1.4,4,3,3
1.6,2,2,4
1.8,1,3,0
2,2,1,2
2.2,5,1,4
2.4,5,1,6
2.6,3,4,5
2.8,4,1,2
3,3,6,4
3.2,4,1,1
3.4,3,4,2
3.6,3,2,4
3.8,3,4,4
4,4,3,4
4.2,2,3,3
4.4,6,4,2
4.6,4,2,4
4.8,3,2,4
5,4,2,3
5.2,2,2,0
5.4,7,6,3
5.6,2,4,6
5.8,3,7,3
6,3,5,7
6.2,4,1,7
6.4,5,1,4
6.6,2,4,5
6.8,3,5,7
7,3,1,3
7.2,5,2,4
7.4,1,1,2
7.6,2,7,3
7.8,3,4,1
8,3,5,2
8.2,3,5,6
8.4,4,1,2
8.6,6,5,1
8.8,3,7,3
9,1,4,2
9.2,6,3,4
9.4,4,7,0
9.6,2,1,4
9.8,3,3,3
10,2,3,3
10.2,4,1,4
10.4,0,2,1
10.6,5,5,6
10.8,4,1,1
11,0,3,2
11.2,3,1,1
11.4,2,2,4
11.6,3,4,6
11.8,4,2,0
12,3,4,2
12.2,4,3,6
12.4,6,2,3
12.6,2,1,3
12.8,3,1,6
13,5,6,4
13.2,6,4,5
13.4,8,7,3
13.6,1,1,4
13.8,4,1,2
14,4,6,2
14.2,6,7,4
14.4,4,1,1
14.6,2,5,2
14.8,4,2,3
15,4,4,2
15.2,7,2,3
15.4,3,4,3
15.6,4,4,4
15.8,5,1,5
16,3,5,2
16.2,7,3,3
16.4,4,4,3
16.6,4,4,2
16.8,1,0,2
17,1,4,3
17.2,3,6,2
17.4,4,1,3
17.6,7,3,8
17.8,1,1,5
18,5,4,3
18.2,4,3,0
18.4,5,3,4
18.6,4,0,1
18.8,3,1,3
19,2,2,3
19.2,4,1,4
19.4,7,3,3
19.6,4,1,2
19.8,4,2,5
20,3,3,5
20.2,1,2,1
20.4,3,7,1
20.6,2,4,1
20.8,3,2,6
21,4,4,3
21.2,1,3,2
21.4,0,1,1
21.6,1,7,3
21.8,2,1,5
22,4,5,5
22.2,0,6,2
22.4,7,2,2
22.6,4,3,2
22.8,4,2,4
23,4,4,3
23.2,2,1,2
23.4,5,4,2
23.6,4,3,3
23.8,3,3,2
24,3,4,5
24.2,4,5,2
24.4,5,1,2
24.6,2,6,3
24.8,3,3,2
25,4,2,1
25.2,5,4,3
25.4,5,2,6
25.6,4,5,5
25.8,4,4,2
26,2,2,5
26.2,0,3,5
26.4,4,3,3
26.6,3,7,4
26.8,2,6,5
27,3,1,4
27.2,1,3,1
27.4,2,5,0
27.6,2,3,5
27.8,5,1,3
28,2,5,2
28.2,4,4,0
28.4,3,2,4
28.6,3,1,3
28.8,5,3,2
29,1,2,4
29.2,2,0,2
29.4,3,3,5
29.6,3,1,5
29.8,6,3,2
30,1,3,6
30.2,2,5,11
30.4,2,0,2
30.6,0,0,0
30.8,4,3,6
31,2,2,4
31.2,3,2,3
31.4,5,5,2
31.6,4,2,2
31.8,5,3,3
32,0,3,2
32.2,4,7,3
32.4,4,4,0
32.6,1,8,3
32.8,6,6,1
33,6,6,4
33.2,2,1,4
33.4,2,6,3
33.6,4,2,6
33.8,4,4,1
34,3,2,0
34.2,5,3,4
34.4,0,3,3
34.6,1,5,1
34.8,2,3,4
35,4,3,5
35.2,2,0,3
35.4,3,3,3
35.6,3,0,4
35.8,4,3,2
36,0,5,1
36.2,4,3,3
36.4,1,2,4
36.6,2,2,1
36.8,2,5,3
37,2,1,1
37.2,4,3,1
37.4,0,2,4
37.6,2,6,5
37.8,5,2,3
38,5,3,0
38.2,5,4,3
38.4,2,4,1
38.6,3,2,4
38.8,3,1,2
39,1,1,3
39.2,4,2,3
39.4,3,4,4
39.6,0,2,4
39.8,5,2,5
40,6,3,1
40.2,6,3,6
40.4,3,2,0
40.6,2,2,2
40.8,2,5,2
41,3,2,2
41.2,3,2,3
41.4,1,3,1
41.6,2,5,2
41.8,5,1,6
42,5,7,5
42.2,3,2,5
42.4,4,2,4
42.6,1,6,4
42.8,4,4,4
43,2,2,5
43.2,3,0,1
43.4,2,2,4
43.6,4,4,5
43.8,4,4,9
44,4,4,9
44.2,2,3,2
44.4,5,1,4
44.6,3,2,4
44.8,4,3,3
45,6,4,2
45.2,4,2,3
45.4,2,1,10
45.6,6,1,2
45.8,3,5,2
46,3,2,5
46.2,5,4,2
46.4,1,2,6
46.6,4,4,1
46.8,4,2,4
47,5,2,1
47.2,1,2,3
47.4,0,2,4
47.6,0,4,1
47.8,7,3,2
48,3,1,3
48.2,1,5,4
48.4,2,2,7
48.6,4,4,1
48.8,5,4,2
49,2,1,2
49.2,6,3,2
49.4,3,2,2
49.6,2,3,3
49.8,6,1,3
50,2,4,5
50.2,1,5,4
50.4,7,2,1
50.6,2,7,3
50.8,2,8,5
51,4,4,2
51.2,2,5,3
51.4,1,3,6
51.6,1,2,3
51.8,1,3,4
52,1,3,4
52.2,5,0,0
52.4,2,3,4
52.6,1,2,2
52.8,6,7,4
53,5,2,5
53.2,5,2,5
53.4,3,5,5
53.6,5,1,4
53.8,1,3,2
54,1,1,3
54.2,0,4,2
54.4,4,4,2
54.6,2,4,1
54.8,2,3,1
55,5,0,2
55.2,6,3,3
55.4,5,2,3
55.6,5,3,3
55.8,5,2,1
56,2,2,5
56.2,5,4,5
56.4,3,6,3
56.6,2,4,4
56.8,2,4,3
57,3,0,6
57.2,5,2,1
57.4,3,3,3
57.6,3,3,4
57.8,0,3,1
58,3,0,2
58.2,4,3,2
58.4,1,2,3
58.6,2,2,3
58.8,2,2,4
59,3,1,6
59.2,3,2,4
59.4,5,3,5
59.6,1,4,4
59.8,1,3,2
60,5,1,2
60.2,0,4,2
60.4,5,3,5
60.6,4,6,6
60.8,3,4,4
61,4,4,7
61.2,3,3,1
61.4,1,4,5
61.6,3,5,3
