Time (s) Run #27,Geiger Counts (counts/sample) Run #27,Geiger Counts (counts/sample) Run #28,Geiger Counts (counts/sample) Run #29,Geiger Counts (counts/sample) Run #30,Geiger Counts (counts/sample) Run #31
2,6,5,8,11,6
4,8,6,2,6,10
6,12,7,8,6,2
8,4,10,8,7,4
10,8,8,4,7,5
12,7,9,7,4,6
14,5,7,5,9,7
16,2,7,6,10,7
18,7,8,7,10,6
20,4,2,6,4,7
22,6,9,6,6,8
24,6,3,9,6,11
26,4,5,8,7,6
28,3,3,7,5,5
30,4,7,6,6,4
32,9,6,8,6,7
34,9,8,10,10,4
36,6,6,4,5,3
38,10,5,5,4,6
40,5,5,6,2,7
42,5,5,6,6,6
44,8,10,8,12,5
46,6,6,8,7,9
48,7,11,5,7,6
50,5,9,2,8,9
52,13,5,6,9,5
54,3,6,9,5,8
56,3,8,7,5,3
58,10,4,7,6,3
60,9,7,9,4,10
62,4,9,5,4,2
64,6,6,9,4,5
66,7,5,8,5,5
68,9,4,5,12,10
70,8,6,12,7,8
72,9,6,7,8,5
74,12,8,5,2,5
76,7,13,8,7,5
78,4,4,5,7,8
80,6,5,6,8,1
82,7,7,4,7,4
84,11,10,5,4,3
86,11,14,8,6,8
88,5,7,3,11,5
90,7,4,7,7,13
92,6,5,7,6,5
94,11,12,12,9,9
96,5,4,13,2,10
98,2,11,7,4,5
100,10,10,8,6,3
102,9,8,10,5,7
104,5,13,5,5,8
106,2,7,6,4,6
108,9,6,10,7,9
110,7,9,4,4,11
112,9,5,14,8,5
114,4,5,7,6,4
116,14,6,13,5,1
118,5,8,7,4,3
120,4,2,7,4,3
122,9,10,4,7,4
124,7,9,9,7,9
126,8,5,9,4,8
128,6,9,9,10,9
130,7,7,6,8,8
132,6,11,7,7,5
134,13,5,10,4,10
136,10,7,5,4,6
138,11,3,4,9,4
140,9,3,6,4,5
142,8,6,5,11,4
144,4,7,6,8,6
146,8,5,8,10,5
148,9,4,11,5,5
150,6,6,5,4,3
152,3,5,3,5,5
154,6,6,7,7,8
156,8,6,5,9,10
158,7,11,9,8,5
160,9,6,8,6,9
162,1,10,5,7,3
164,9,6,8,6,6
166,4,7,7,6,3
168,6,9,6,6,3
170,6,8,9,7,11
172,8,8,7,13,9
174,8,2,1,6,8
176,6,5,8,4,6
178,7,7,8,6,8
180,9,4,11,5,4
182,6,4,8,11,5
184,10,6,8,4,7
186,7,10,5,10,7
188,4,9,9,9,11
190,9,7,6,7,9
192,6,5,5,8,7
194,10,0,7,7,4
196,6,8,11,8,12
198,8,5,2,8,8
200,4,9,7,7,6
202,7,6,8,17,5
204,13,7,8,6,6
206,2,6,3,6,3
208,3,5,7,5,4
210,10,10,5,4,8
212,8,11,7,8,5
214,8,2,13,8,3
216,2,9,8,9,7
218,10,3,4,6,9
220,10,5,6,5,8
222,5,8,4,6,10
224,5,8,4,6,9
226,13,7,3,5,8
228,4,5,5,8,6
230,7,2,7,4,6
232,5,6,9,7,4
234,4,6,11,4,7
236,10,10,6,3,5
238,14,8,8,7,5
240,7,5,4,7,7
242,4,4,8,7,6
244,6,5,14,6,8
246,7,7,11,6,10
248,5,5,6,6,3
250,10,6,4,5,7
252,4,12,4,4,4
254,9,9,8,8,5
256,8,8,8,8,7
258,5,9,5,9,4
260,5,6,8,3,7
262,3,11,12,7,5
264,8,7,4,8,5
266,6,2,10,8,6
268,11,8,8,8,8
270,7,3,9,10,3
272,4,5,7,9,11
274,8,8,8,5,13
276,3,8,5,3,9
278,10,4,7,8,11
280,7,10,8,4,8
282,8,8,6,6,7
284,8,4,6,6,4
286,4,7,8,8,8
288,7,5,6,5,9
290,8,7,3,3,6
292,7,3,9,5,8
294,10,7,4,5,5
296,3,9,9,9,7
298,4,6,10,7,4
300,4,7,10,3,4
