Time,Run 1
0,0
0.2,1
0.4,1
0.6,3
0.8,2
1,1
1.2,4
1.4,3
1.6,2
1.8,2
2,3
2.2,2
2.4,3
2.6,1
2.8,0
3,3
3.2,0
3.4,3
3.6,3
3.8,1
4,3
4.2,2
4.4,1
4.6,2
4.8,3
5,2
5.2,2
5.4,1
5.6,4
5.8,3
6,3
6.2,1
6.4,3
6.6,3
6.8,2
7,3
7.2,1
7.4,1
7.6,2
7.8,1
8,1
8.2,5
8.4,1
8.6,1
8.8,3
9,0
9.2,3
9.4,1
9.6,3
9.8,2
10,3
10.2,2
10.4,4
10.6,1
10.8,2
11,0
11.2,0
11.4,1
11.6,3
11.8,1
12,0
12.2,2
12.4,4
12.6,1
12.8,0
13,3
13.2,1
13.4,0
13.6,2
13.8,2
14,4
14.2,1
14.4,1
14.6,1
14.8,5
15,1
15.2,2
15.4,2
15.6,6
15.8,2
16,2
16.2,1
16.4,3
16.6,1
16.8,3
17,2
17.2,2
17.4,2
17.6,3
17.8,3
18,3
18.2,0
18.4,0
18.6,3
18.8,4
19,2
19.2,4
19.4,3
19.6,3
19.8,3
20,2
20.2,6
20.4,2
20.6,3
20.8,0
21,2
21.2,3
21.4,3
21.6,2
21.8,2
22,0
22.2,2
22.4,3
22.6,1
22.8,2
23,6
23.2,1
23.4,0
23.6,4
23.8,1
24,0
24.2,3
24.4,2
24.6,4
24.8,5
25,4
25.2,2
25.4,2
25.6,1
25.8,4
26,3
26.2,3
26.4,2
26.6,2
26.8,2
27,4
27.2,2
27.4,1
27.6,3
27.8,1
28,4
28.2,0
28.4,5
28.6,0
28.8,4
29,2
29.2,2
29.4,0
29.6,2
29.8,3
30,4
30.2,4
30.4,0
30.6,4
30.8,2
31,1
31.2,4
31.4,1
31.6,1
31.8,1
32,0
32.2,5
32.4,2
32.6,1
32.8,2
33,4
33.2,1
33.4,1
33.6,2
33.8,4
34,0
34.2,1
34.4,0
34.6,3
34.8,2
35,1
35.2,0
35.4,2
35.6,2
35.8,2
36,0
36.2,3
36.4,1
36.6,2
36.8,2
37,2
37.2,3
37.4,2
37.6,3
37.8,2
38,2
38.2,1
38.4,0
38.6,4
38.8,4
39,1
39.2,2
39.4,5
39.6,4
39.8,3
40,0
40.2,1
40.4,2
40.6,3
40.8,2
41,4
41.2,1
41.4,1
41.6,2
41.8,1
42,2
42.2,5
42.4,3
42.6,2
42.8,1
43,1
43.2,1
43.4,3
43.6,0
43.8,7
44,3
44.2,3
44.4,0
44.6,2
44.8,1
45,3
45.2,0
45.4,3
45.6,2
45.8,1
46,2
46.2,0
46.4,5
46.6,2
46.8,1
47,2
47.2,3
47.4,0
47.6,0
47.8,3
48,4
48.2,2
48.4,5
48.6,5
48.8,2
49,1
49.2,2
49.4,0
49.6,4
49.8,4
50,1
50.2,2
50.4,4
50.6,1
50.8,0
